-9.5772733544083980e+210  +  j * -inf 
-3.1300682500004463e+268  +  j * -4.6422207507814486e+81 
-1.6166791433616751e+136  +  j * 4.7404626060743808e+84 
0.0000000000000000e+00  +  j * -5.6835909520974515e+156 
-4.8203339051858392e+61  +  j * 2.2699275655385342e+30 
1.0836242425764546e-18  +  j * 2.2857535100073385e+121 
NaN  +  j * inf 
1.0624517746430312e+168  +  j * -8.1790431552280375e+211 
2.3578570533723100e-178  +  j * 0.0000000000000000e+00 
NaN  +  j *  NaN 
-inf  +  j * NaN 
-2.0621390116687434e-38  +  j * inf 
-4.2014788415121714e+80  +  j * 1.7657595712426395e+167 
-4.4614925140101101e-35  +  j * -1.9544124378054535e+225 
NaN  +  j * -inf 
inf  +  j * NaN 
-3.6195957761759727e-155  +  j * 0.0000000000000000e+00 
3.8152240045139790e+56  +  j * 0.0000000000000000e+00 
-3.0274729554923857e+12  +  j * 0.0000000000000000e+00 
1.2833715499267359e+144  +  j * -inf 
NaN  +  j * -inf 
-5.7510857483280599e+147  +  j * 0.0000000000000000e+00 
7.2687423556467992e+95  +  j * 0.0000000000000000e+00 
-1.0823109885822119e+208  +  j * -5.6210364157405399e+206 
0.0000000000000000e+00  +  j * 2.1665872609155616e+16 
NaN  +  j * -inf 
0.0000000000000000e+00  +  j * 2.3289201914880126e+173 
NaN  +  j * -inf 
-1.0664862563954721e+75  +  j * 0.0000000000000000e+00 
2.3550321184987422e+290  +  j * -inf 
-8.2693900941049789e+133  +  j * -5.2562352705647453e+29 
-inf  +  j * -3.7856718346404915e+164 
-3.3252775540620254e+61  +  j * 0.0000000000000000e+00 
-2.2146677426335403e+302  +  j * inf 
6.1496652869099366e-08  +  j * -1.5696238200558979e+106 
-inf  +  j * -inf 
0.0000000000000000e+00  +  j * 3.4179536085772791e+81 
-3.4200203200480420e+69  +  j * 0.0000000000000000e+00 
2.4206236911991121e+13  +  j * -2.1229908314947232e+94 
-4.3758553194890126e+114  +  j * 1.0539522001705723e+135 
-1.3562941460920492e-44  +  j * 0.0000000000000000e+00 
5.2817536897189746e-110  +  j * 2.9678445560418809e-179 
NaN  +  j * -inf 
-1.9521882947558803e-55  +  j * 0.0000000000000000e+00 
-8.8917927198398646e+181  +  j * 0.0000000000000000e+00 
inf  +  j * NaN 
-1.1542503872541176e+203  +  j * 0.0000000000000000e+00 
-5.4671052183822267e+299  +  j * 0.0000000000000000e+00 
-3.9276093567069053e-166  +  j * -2.4684523582850480e-197 
9.2516129976279065e-06  +  j * 0.0000000000000000e+00 
4.5187954781551893e+297  +  j * -7.7986235866872413e+183 
NaN  +  j * -inf 
2.5770051079327277e+57  +  j * -3.1650265027403376e+44 
-1.3044003824803036e-137  +  j * -4.1368937109005458e+42 
7.8700901407947225e+107  +  j * -6.1803087943411076e+44 
NaN  +  j * -inf 
0.0000000000000000e+00  +  j * 1.2027560944933982e-139 
-1.7109320041342543e-245  +  j * 6.8379075902930094e-81 
2.4896351341539773e+128  +  j * 0.0000000000000000e+00 
-4.1176169632195836e-157  +  j * 0.0000000000000000e+00 
inf  +  j * NaN 
NaN  +  j *  NaN 
inf  +  j * NaN 
1.9604941196445360e-44  +  j * 1.3399312229159524e-100 
-2.0124334223301870e+57  +  j * 4.4007769920266801e-73 
-1.4411548066498084e+251  +  j * -5.2331721528311237e+88 
-6.5900490250834016e+120  +  j * 1.9755837065940423e+245 
-1.1523952210818245e+55  +  j * inf 
NaN  +  j * -inf 
NaN  +  j * inf 
NaN  +  j * -inf 
-inf  +  j * -inf 
6.5807691951201949e-124  +  j * 0.0000000000000000e+00 
6.7564858635527449e+146  +  j * 0.0000000000000000e+00 
2.4673447569757721e+272  +  j * 9.8601586950351638e+170 
4.0395594748778523e+82  +  j * 0.0000000000000000e+00 
0.0000000000000000e+00  +  j * 4.7464742581402253e-272 
2.4158938414543803e+186  +  j * 0.0000000000000000e+00 
1.8953333201378026e+227  +  j * 0.0000000000000000e+00 
1.8323743696863620e+15  +  j * -3.5259491471298369e+184 
-inf  +  j * -inf 
inf  +  j * inf 
1.8131762264578679e-154  +  j * -1.0332131069856611e-122 
-inf  +  j * NaN 
-inf  +  j * -1.4700662926414330e+169 
1.1549707435924936e-132  +  j * -9.5723073010708465e-198 
-6.5504937934393139e+18  +  j * 0.0000000000000000e+00 
-1.2663228767622237e+251  +  j * -4.9887641383964197e+75 
-2.8625488121479604e-128  +  j * 7.1786386709583217e+60 
4.5114419738940452e+46  +  j * 6.7613597513869560e+51 
-4.5572394970350469e+104  +  j * -1.8324461285639825e+217 
inf  +  j * NaN 
-7.6450287470381486e-42  +  j * -1.6181052222804738e+221 
inf  +  j * NaN 
5.9342085542493647e+237  +  j * 0.0000000000000000e+00 
inf  +  j * 1.5905633252963012e+172 
0.0000000000000000e+00  +  j * 1.3718313511520087e-63 
-4.1606146305105801e-67  +  j * -5.4419123833096582e-62 
7.4928832055651906e+218  +  j * -inf 
NaN  +  j * inf 
