4.2135659876035478e+148   +  j * 5.0762879821416259e-64
-5.3747682511757975e+121   +  j * -7.9713471762943334e-66
-2.2582931781659014e-128   +  j * 6.6218175750000250e-180
-3.1499436896020126e-17   +  j * 3.8729096606160603e+59
2.6104326207831650e+116   +  j * -1.2292702290855699e+85
-2.0532297013184651e+165   +  j * 4.3401434370449251e-277
-1.5052956388641709e+14   +  j * -9.1874623821564225e+236
2.7686220453518216e+122   +  j * -2.6435266280806859e-108
5.9841470974128485e-264   +  j * -5.0401153823964399e-57
9.0859131336253454e-72   +  j * 4.1566820061164674e+292
-2.4856259066884528e+284   +  j * -2.1700426377630929e+217
2.5866183391470802e+115   +  j * 2.6499547232715840e-244
3.9734776022588420e+53   +  j * 5.0786071714703232e-250
2.2796153527987904e+192   +  j * -2.0879041314474414e-140
-1.6124282729541884e+134   +  j * 1.8322774617908083e+276
4.8823063567513119e-93   +  j * -2.6329687892070763e+156
-4.4731200490283993e-43   +  j * -6.1241092925337477e-13
3.0341718130962296e-272   +  j * 1.0409256996589345e-167
9.4946148204303856e-284   +  j * -1.2792895232097582e-122
2.1428074002437746e+275   +  j * 2.4451221360332961e-60
-1.1642870888225200e-194   +  j * -2.1055547971917384e+102
1.6670079953682568e-09   +  j * 6.4479524661915992e+150
1.6423347074013435e-221   +  j * -3.1208260603577296e+103
-5.2978632859098488e-73   +  j * 1.0200851277692831e-71
8.0861478928239846e-143   +  j * -4.4121463546974562e-91
3.1063943294386851e-83   +  j * -1.5690054891514627e+249
-1.0677871843520860e+102   +  j * 2.4484622175480488e+293
1.7535419860042333e+130   +  j * 1.3484704369353398e+212
-5.9163053971032968e-72   +  j * -3.4056561428264652e-12
-2.3347063518087779e+169   +  j * -7.9625726818301246e-53
2.8452561871968538e+82   +  j * 1.8085174063318066e-22
-2.0585310676810133e+274   +  j * -1.4134941568246277e+68
2.5907448063887820e-276   +  j * 3.6768794270327540e-175
2.1799384002360106e+157   +  j * -9.1105273358777390e-217
8.3553958936425728e+27   +  j * 2.0015950888201066e-161
3.9677603109287882e+261   +  j * 8.8816900476969717e-93
1.0332637750932795e-228   +  j * -1.2435896163505233e-148
4.8775731165576190e-186   +  j * 5.6236592209090330e+122
-1.1733726545943136e+158   +  j * 8.5542716868074238e-159
-1.1060921397483009e-140   +  j * -4.5923327194338239e-161
2.3749421869107761e-135   +  j * 3.0804591019483050e-34
-3.3835470823020602e-07   +  j * -3.5138906271149410e-141
-3.8051150009471340e+303   +  j * 1.7416998953725657e+300
-8.4991254468278660e-178   +  j * 4.6594373312687969e-77
-4.8142018802355374e+137   +  j * 2.5361633017376655e+203
-7.5753359832739224e+129   +  j * -4.7665428625589813e+307
1.1776411428008953e-203   +  j * 2.8599335250102803e-05
-1.2013171862083533e+122   +  j * -5.3174423941752460e+272
8.7149523881627365e+43   +  j * -2.1578676903141745e-170
-2.7805858185761397e-266   +  j * -7.5060534653214273e-230
1.3801446841979765e+287   +  j * 1.7647338255060669e-65
-2.4094588820472622e-129   +  j * -1.5081713303641720e+31
1.2696017511874083e+269   +  j * -6.9535667984332355e-227
3.9715596266833005e+164   +  j * 7.3607711125276580e-296
-3.9302739528198443e+238   +  j * -2.3908747735042083e-174
1.6450820392349787e-175   +  j * 1.1311749947479627e+238
1.6296085222264161e-206   +  j * 4.6729499311285846e-91
1.5860315293932333e+22   +  j * 3.9684538981735516e-143
5.1719545025565704e-08   +  j * -2.3080417622603470e+206
3.9839672446074196e-102   +  j * -1.6189152642612868e-78
-1.1769896394225110e-182   +  j * 4.8814202954237638e+30
6.9987792031810811e+194   +  j * 2.4063271289263579e+283
-1.0886106357890165e+262   +  j * -8.3832195663238229e+106
-3.6408651207431854e+33   +  j * 7.9552633452846948e-148
6.4918288172495916e+230   +  j * -2.3564532388453772e-179
2.2265147887107623e+147   +  j * 8.0849990135578363e-16
9.7887229901994082e+251   +  j * 3.2652711288851863e+127
1.1344069002870319e+276   +  j * -6.7032005545186252e-167
-8.7977816390709029e+237   +  j * -1.0835842623928280e+281
2.3985262786706342e+261   +  j * -1.0436303236721764e+212
-1.5291031624728958e-72   +  j * 8.6178600532879045e+266
2.0968283809206918e+219   +  j * 4.5969032534015886e+213
-1.7265022233101179e-269   +  j * 2.1495732158185320e+65
1.5627048505105830e-263   +  j * 4.0760015783050649e-85
4.0076876384041000e+294   +  j * -9.1803043422305235e-290
2.3204613017636265e-205   +  j * 1.3093264400119724e+236
3.4525240332985755e-184   +  j * -1.1985186625822671e-165
-4.4364423070482934e-126   +  j * 6.7007184584240777e-36
6.0268804929030463e-198   +  j * -2.0311698077672692e+66
2.1283473971375855e+123   +  j * 1.1060650785273463e-46
5.2639019981062579e+42   +  j * -1.4467775980104064e-13
-3.8779836687817485e+242   +  j * -2.0343763899625729e-269
1.9599392668176301e-93   +  j * 3.4394794838237654e-125
2.3859156836511656e-188   +  j * 2.1771793945588193e+199
-6.5511242310822763e+246   +  j * 1.4560062352362608e-96
